left_rid,right_rid,left_title,right_title,decision,human_decision,fuzzy_score,jev_score,material_diffs
25749,202827715,Sanus 15' - 40' VisionMount Flat Panel TV Black Wall Mount - MT25B1,Sanus VisionMount Tilting Flat Panel TV Wall Mount - MT25-B1,match,,0.9155384615384614,,
25776,90114631,Sony Lightweight Tripod - Black Finish - VCTR640,Sony VCT-R640 Tripod - VCTR640,match,,0.9073098470157294,,
25813,202973389,Tech Craft Avalon Series TV Stand - Black Finish - ABS32,Techcraft Veneto Series ABS32 TV Stand,match,,0.9292751532636134,,
25814,202973396,Tech Craft Avalon Series TV Stand - SWP48,Techcraft Veneto Series SWP48 TV Stand,match,,0.9742616033755275,,
25950,202870170,Garmin 010-10702-00 Black GA 25MCX Remote GPS Antenna - 0101070200,Garmin GA 25MCX Low Profile Remote GPS Antenna - 010-10702-00,match,,1.0,,
25990,203915639,Frigidaire 24' PLD4375RFC Built-In Stainless Steel Dishwasher - PLD4375SS,"PLD4375RFC Professional SpeedClean 24-in. Under Counter Dishwasher (14 Place Settings, Stainless Steel)",match,,0.7938766801792192,,
26059,203870569,Garmin 010-10823-00 Black Nuvi 660 Vehicle Suction Cup Mount - 0101082300,Garmin Suction Cup Mount - 010-10823-00,match,,1.0,,
26082,204274660,Whirlpool WED6400SB Cabrio Super Capacity Plus Electric Black Dryer - WED6400SBK,WED6400SB Cabrio Super Capacity Plus Electric Black Dryer,match,,1.0,,
26137,204272122,Panasonic SR-NA18 White Deluxe Fuzzy Logic Rice Cooker - SRNA18,Panasonic SR-NA18 10-Cup Rice Cooker/Warmer with Advanced Fuzzy Logic Technology,match,,0.8338205608824166,,
26350,202537952,Panasonic KX-TGA450B Black 5.8 GHz Cordless Handset - KXTGA450B,Panasonic KX-TGA450B Cordless Handset,match,,1.0,,
26461,200924629,Linksys Wireless-G VPN Broadband Silver Router - WRV54G,Linksys WRV54G Wireless-G VPN Broadband Router,match,,1.0,,
26617,201692705,Canon PGI-5BK Black Ink Tank Cartridge - PGI5BK,Canon PGI-5BK Black Ink Cartridge - 0628B002,match,,0.9957808805118933,,
26622,203201062,Canon Charger And Rechargable AA Battery Kit - 1169B001,Canon Battery and Charger Kit - 1169B001,match,,1.0,,
26805,203900180,Tech Craft ABS48 Antique Black Avalon Series 48' TV Stand - ABS48,"ABS48 Wood TV Stand (Avalon Series, 48-in. Max)",match,,0.9660774410774411,,
26861,203388612,Sirius ST4-TK1 Starmate 4 Radio With Car Kit - ST4TK1,Directed Electronics Starmate 4 Sirius Satellite Radio Receiver - ST4TK1,match,,0.8575158371040723,,one title looks like a bundle/kit
27188,204292472,Weber Stainless Steel Genesis S-310 Liquid Propane Grill - 3770001,Weber Genesis Series 3770001 60' Freestanding Gas Grill,match,,0.7711904761904761,,
27188,204292473,Weber Stainless Steel Genesis S-310 Liquid Propane Grill - 3770001,Weber Genesis Series S-310 60' Freestanding Gas Grill,match,,0.7942493946731234,,
27194,204318283,Weber Stainless Steel Genesis S320 LP Grill - 3780001,Weber Genesis S-320 3780001 60' Freestanding Gas Grill,match,,0.7789368650217707,,
27194,204318288,Weber Stainless Steel Genesis S320 LP Grill - 3780001,"Weber Genesis S-320 3880001 60' Freestanding Gas Grill with 637 sq. in. Cooking Surface, 3 Stainless Steel Burners, Flush-Mounted Side Burner & Stainless Steel Shroud: Natural Gas",match,,0.7142343276192834,,
27197,204318288,Weber Stainless Steel Genesis S320 Natural Gas Grill - 3880001,"Weber Genesis S-320 3880001 60' Freestanding Gas Grill with 637 sq. in. Cooking Surface, 3 Stainless Steel Burners, Flush-Mounted Side Burner & Stainless Steel Shroud: Natural Gas",match,,0.8374386252045828,,
27197,204318283,Weber Stainless Steel Genesis S320 Natural Gas Grill - 3880001,Weber Genesis S-320 3780001 60' Freestanding Gas Grill,match,,0.7406832298136646,,
27248,10246269,Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable - F3H98210,Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,match,,1.0,,
27364,204791586,Kenwood KCA-IP200 Black iPod Direct Cable - KCAIP200,Kenwood iPod Direct Cable - kcaip200,match,,1.0,,
27407,203930685,Sony SCPH-98046 PlayStation 3 Blu-Ray DVD Remote Control - 711719804604,Sony Playstation 3 Blu-Ray DVD Remote - 98046,match,,1.0,,
27479,10351869,Tripp-Lite PV375 PowerVerter 375-Watt Ultra-Compact Inverter - PV375,Tripp Lite PowerVerter 375-Watt Ultra-Compact Inverter - PV375,match,,0.8948134539287733,,
27501,203928709,Sirius FMDA25 Wired FM Modulation Relay - FMDA25,SIRIUS FMDA25 Wired FM Relay Kit,match,,1.0,,one title looks like a bundle/kit
27589,204264643,Frigidaire Professional 24' PLD4555RFC Built-In Stainless Steel Dishwasher - PLD4555SS,"PLD4555RFC Professional SpeedClean 24-in. Under Counter Dishwasher (14 Place Settings, Stainless Steel, Energy Star)",match,,0.8356399920374241,,
27739,204644752,Electrolux Oxygen 3 Canister HEPA H12 Filter - EL012A,Electrolux Homecare #EL012A Electro H12 Hepa Filter,match,,0.9284623932623698,,
27771,202592070,Fellowes Confetti Cut Shredder - W11C,Fellowes Powershred Personal W11C Shredder - 30100,match,,0.8847736480120595,,
27783,202293522,Sony VAIO VGP-PRSZ1 SZ Series Docking Station - VGPPRSZ1,Sony VAIO SZ Series Docking Station - VGPPRSZ1,match,,1.0,,
27789,204318286,Weber Genesis E-310 Liquid Propane Black Outdoor Grill - 3741001,Weber Genesis Series E-310 3841001 60' Freestanding Gas Grill with 637 sq. in. Cooking Surface & 3 Stainless Steel Burners: Black Natural Gas,match,,0.7007953937406788,,
27793,204292473,Weber Genesis S-310 Natural Gas Stainless Steel Outdoor Grill - 3870001,Weber Genesis Series S-310 60' Freestanding Gas Grill,match,,0.8247193186217576,,
27810,204563770,Sony Progressive Scan Black DVD Player - DVPNS57PB,Sony DVPNS57P DVD Player - DVPNS57PB,match,,0.9708471760797341,,
27840,203379249,LG 14' Washer And Dryer Red Pedestal With Drawer - WDP3R,LG Electronics WDP3 Laundry Pedestal with Drawer -W/ B/ S/ N / WDP3R - Wild Cherry,match,,0.8056981237580757,,
27853,202985798,LG Laundry Remote Monitor - RLM20K,LG Electronics RLM20K Remote Laundry Monitoring System,match,,0.9780956112852665,,
27857,204035273,Transcend 2GB Micro SD Memory Card - TS2GUSD,Transcend 2GB microSD Card - TS2GUSD,match,,1.0,,
27975,10360978,Belkin F3H982-25 Black 25 Ft Pro Series High Integrity VGA/SVGA Monitor Replacement Cable - F3H98225,Belkin Monitor Cable - F3H982-25,match,,0.970995670995671,,
28033,204448530,Sony MDR-NC22/BLK Black Noise Canceling Headphones - MDRNC22,Sony Noise Cancelling Earphone - MDRNC22/BLK,match,,0.9311538461538462,,
28137,204254634,Sony InfoLithium H Series Standard Rechargeable Battery Pack - NPFH70,Sony InfoLithium H-Series NP-FH70 Camcorder Battery - NPFH70,match,,0.9209302325581394,,
28138,204327516,Sony NP-FH100 InfoLithium H Series Standard Rechargeable Battery Pack - NPFH100,Sony NP-FH100 Lithium Ion Camcorder Battery - NPFH100,match,,0.9637445887445889,,
28175,204318286,Weber Genesis E-310 Natural Gas Black Outdoor Grill - 3841001,Weber Genesis Series E-310 3841001 60' Freestanding Gas Grill with 637 sq. in. Cooking Surface & 3 Stainless Steel Burners: Black Natural Gas,match,,0.8808315295815297,,
28205,204419878,Panasonic KX-TG6702B 5.8 GHz FHSS GigaRange Expandable Black Cordless Phone System - KXTG6702B,Panasonic KX-TG6702B Cordless Telephone - KX-TG6702B,match,,0.8984589041095892,,
28256,204563763,Sony SLV-D380P Black DVD VHS Combo Player - SLVD380P,Sony SLVD380P DVD/VCR Combo,match,,0.9153045312786644,,
28304,203405814,Fellowes MicroShred Shredder - MS450CS,Fellowes MicroShred MS-450Cs Shredder - 3245001,match,,0.9166386554621848,,
28350,204206935,Panasonic Silver Dect 6.0 Cordless Telephone - KXTG1033S,Panasonic KX-TG1033S Digital Cordless Phone with Three Handsets,match,,0.7142533936651584,,
28366,204254738,Sony Progressive Scan Silver DVD Player - DVPNS57PS,Sony DVPNS57P DVD Player - DVPNS57PS,match,,0.9745894909688013,,
28433,203142438,Sony MRW62E/S1/181 17-In-1 External USB Memory Card Reader - MRW62ES1181,Sony 17-in-1 External USB Memory Card Reader And Writer - MRW62E/S1/181,match,,1.0,,
28500,203445749,Sony MS-A1GD 1GB Memory Stick Micro (M2) - MSA1GD,Sony 1GB Memory Stick Micro (M2) Card - MSA1GD,match,,1.0,,
28554,204443417,Olympus PS-BLS1 Lithium Ion Rechargeable Battery - LIIONPSBLS1,Olympus PS-BLS1 Lithium Ion Digital Camera Battery - 260236,match,,0.906379132231405,,
28963,202106724,Sirius External Home Antenna - 14240,Sirius Outdoor Home Antenna - 14240,match,,1.0,,
28980,204559211,Panasonic Stainless Steel Luxury Full Size Countertop Microwave Oven - NNSD967SS,Panasonic 2.2 cu. ft. Stainless Steel Luxury Full Size Countertop Microwave Oven - NNSD967SS,match,,1.0,,
29007,204792885,LG DLG2526W White Super Capacity Gas Dryer - DLG2526WH,"LG Electronics DLG2526W 27' Gas Dryer with 7.0 cu. ft. Capacity, 5 Dry Programs, 5 Temperature Controls, 5 Drying Levels and Sensor Dry System",match,,0.7294778138528139,,
29099,204222472,Olympus Silver Digital Voice Recorder - VN4100PC,Olympus VN-4100PC 256MB Digital Voice Recorder - 141927,match,,0.8461904761904762,,
29231,204206936,Panasonic Expandable Digital Cordless DECT 6.0 Answering System In Silver - KXTG1034S,Panasonic KX-TG1034S DECT 6.0 Cordless Phone - KX-TG1034S,match,,0.8750585048754063,,
29238,204206937,Panasonic Expandable Digital Cordless DECT 6.0 Handset In Silver - KXTGA101S,Panasonic KX-TGA101S DECT 6.0 Expansion Handset,match,,0.8435975609756097,,
29273,202070807,Kensington MicroSaver Keyed Notebook Lock - 64068F,Kensington MicroSaver Notebook Lock - 64068F,match,,1.0,,
29338,202143947,Sony Memory Stick USB Adaptor - MSACUS40,Sony Memory Stick USB Card Reader/Writer - MSACUS40,match,,1.0,,
29339,203888987,Panasonic Silver Rice Cooker/Warmer - SRTMB10,Panasonic Srtmb10/Rice Cooker/5.5cup/Fuzzy - SR-TMB10,match,,0.8056632653061223,,
29392,204295637,Audiovox 9' LCD Drop Down TV With Built-In DVD - VE927,Audiovox VE927 9' TV/DVD Combo,match,,0.9047560975609756,,one title looks like a bundle/kit
29574,204559209,Panasonic NNSD767S Stainless Steel Countertop Microwave Oven - NNSD767SS,Panasonic NNSD767S 1.6 cu. ft. Stainless Steel Countertop Microwave Oven,match,,0.9924242424242424,,
29758,201953029,Canon Black Ink Cartridge - PG50,Canon PG-50 High Capacity Black Ink Cartridge For PIXMA MP450 Printer - 0616B002,match,,0.8332929782082324,,
29806,202755491,Panasonic White Integrated Telephone System - KXTS600W,Panasonic KX-TS600W Basic Telephone,match,,0.7333801498127341,,
29820,202882380,Linksys Wireless N Access Point - WAP4400N,Linksys WAP4400N Wireless-N Access Point With POE - WAP4400N,match,,1.0,,
29823,204792884,LG DLE2516W White Super Capacity Electric Dryer - DLE2516WH,LG Electronics DLE2516W 27' Electric Dryer,match,,0.8509203980099503,,
29902,205144562,TiVo HD Digital Video Recorder (180 Hour) - TCD652160,TiVo HD Digital Video Recorder - Up to 20 Hours in HD! - TCD652160,match,,0.9994766912731318,,
29950,204559210,Panasonic NNSD797S Stainless Steel Countertop Microwave Oven - NNSD797SS,Panasonic NNSD797S 1.6 cu. ft. Genius Prestige Inverter Stainless Steel Microwave Oven,match,,0.8670261010565959,,
30158,204937142,LaCie 1TB FireWire 800/FireWire 400/USB 2.0 External Hard Drive - 301199U,LaCie Big Disk Extreme+ Hard Drive - 301199U,match,,0.8095926196565584,,
30389,202813304,Apple Mini-DVI To DVI Adapter - M9321GB,Apple DVI to mini-DVI Video Cable Adapter - M9321GB,match,,1.0,,
30436,204505951,Olympus DS40 Digital Voice Recorder - DS40R,Olympus DS-40 512MB Digital Voice Recorder - 141910,match,,0.8968787878787879,,
30585,204206934,Panasonic Expandable Digital Cordless DECT 6.0 Phone System - KXTG1032S,Panasonic KX-TG1032S Dual Handset Digital Cordless Phone,match,,0.7897075365579302,,
30591,204849801,Audiovox XpressEZ XM Satellite Radio Receiver - XMCK5P,Audiovox XMCK5P EXPRESSEZ Satellite Radio - XMCK5P,match,,1.0,,
30593,204860316,Audiovox XpressR XM Satellite Radio Receiver - XMCK20P,Audiovox Xpress R XM Radio Receiver with Vehicle Kit XMCK20P,match,,1.0,,one title looks like a bundle/kit
30708,205083947,Uniden DECT 6.0 Cordless Digital Answering System - DECT20802,Uniden DECT 6.0 1.9GHz Cordless Phone - DECT2080-2,match,,0.8451923076923077,,
30957,202046565,Linksys Wireless-G Broadband Router - WRT54GL,Linksys Wireless-G WRT54GL Broadband Router,match,,1.0,,
31273,203086857,Sony Universal Remote Commander Remote Control - RMV310,Sony Remote Control - RMV310,match,,1.0,,
31337,203884610,Sirius SiriusConnect Home Tuner - SCH1,Directed Electronics SCH1 SiriusConnect Home Tuner,match,,1.0,,
31414,204222915,Sanus 15' - 32' Flat Panel TV Black Wall Mount - MF209B1,Sanus MF209-B1 Full Motion Wall TV Mount,match,,0.7368568988828008,,
31881,203514371,Linksys Wireless-G PrintServer - WPSM54G,Linksys WPSM54G Wireless-G USB Print Server,match,,1.0,,
31992,203952966,Transcend 4GB Secure Digital High-Capacity (SDHC) Class 6 Memory Card - TS4GSDHC6,Transcend 4GB Secure Digital High Capacity (SDHC) Card - Class 6 - TS4GSDHC6,match,,1.0,,
32034,10333368,Kensington Orbit Optical Trackball Mouse - 64327,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,match,,1.0,,one title looks like an accessory
32315,205083968,Uniden Dect 6.0 Accessory Handset And Charging Cradle - DCX200,UNIDEN DCX200 DECT 6.0 Accessory Handset & Charger,match,,1.0,,
32322,203405815,Fellowes Personal Powershred Shredder - SB97CS,Fellowes Powershred Personal SB-97Cs Confetti Cut Shredder - 3219701,match,,0.8720639834881321,,
32405,203938179,Transcend JetFlash V10 8GB USB Flash Drive - TS8GJFV10,Transcend 8GB JetFlash V10 USB Flash Drive - TS8GJFV10,match,,1.0,,
