left_rid,right_rid,left_title,right_title,human_decision,fuzzy_score,jev_score,material_diffs,rule_reason
9314,90114398,Panasonic Hands Free Headset - KXTCA92,Panasonic KX-TCA86 Headset,,0.2971085963455149,,,rules did not resolve
9355,203151776,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH,White .5 cu. ft 1500 Watt Convection/Broiler/Toaster Oven,,0.3875600961538462,,,rules did not resolve
9355,203111113,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH,Cuisinart Cordless Automatic Electric Kettle,,0.3140594699418229,,,rules did not resolve
9355,203155653,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH,Cuisinart GR-4 Griddler Four Multifunctional Cooking Options,,0.309375,,,rules did not resolve
9355,203162678,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH,Cuisinart Brew & Serve Stainless Therm Black 10-Cup Coffee Maker,,0.31174323744096183,,,rules did not resolve
9646,203111113,Cuisinart Cordless Electric Kettle - KUA17,Cuisinart Cordless Automatic Electric Kettle,,0.7003059975520196,,,rules did not resolve
9646,203162678,Cuisinart Cordless Electric Kettle - KUA17,Cuisinart Brew & Serve Stainless Therm Black 10-Cup Coffee Maker,,0.3480769230769231,,,rules did not resolve
9646,203155653,Cuisinart Cordless Electric Kettle - KUA17,Cuisinart GR-4 Griddler Four Multifunctional Cooking Options,,0.33700980392156865,,,rules did not resolve
10101,90106210,Omnimount Wall Speaker Mount - 20WLBK,OmniMount Stainless Steel Speaker Mount - 20.0 WALL-W,,0.6117921146953404,,,rules did not resolve
10101,90106172,Omnimount Wall Speaker Mount - 20WLBK,OmniMount Universal Wall Speaker Mounting Kit - 20.0 WALL-B,,0.5825074515648286,,one title looks like an accessory; one title looks like a bundle/kit,rules did not resolve
10101,90140203,Omnimount Wall Speaker Mount - 20WLBK,OmniMount TV Top Shelf Mount,,0.4976073345259391,,,rules did not resolve
10102,90106210,Omnimount Wall Speaker Mount - 20WLWH,OmniMount Stainless Steel Speaker Mount - 20.0 WALL-W,,0.6173476702508962,,,rules did not resolve
10102,90106172,Omnimount Wall Speaker Mount - 20WLWH,OmniMount Universal Wall Speaker Mounting Kit - 20.0 WALL-B,,0.5772991182314953,,one title looks like an accessory; one title looks like a bundle/kit,rules did not resolve
10102,90140203,Omnimount Wall Speaker Mount - 20WLWH,OmniMount TV Top Shelf Mount,,0.4976073345259391,,,rules did not resolve
11801,203025174,Escort Passport Radar And Laser Detector - Black Finish - 8500,Cordless Solo S2 Radar/Laser Detector - 010ES20A,,0.42348484848484846,,,rules did not resolve
13155,90109367,Peerless Wall TV Mounts In Black - PM1327BK,Peerless Adjustable TV Wall Mount - PM1327,,0.4368382352941177,,possible model variant (pm1327bk vs pm1327 differ only by suffix); one title looks like an accessory,rule: possible variant (pm1327bk vs pm1327 differ only by suffix)
13155,201701865,Peerless Wall TV Mounts In Black - PM1327BK,Peerless Universal Tilt Wall Mount,,0.41801948051948057,,one title looks like an accessory,rules did not resolve
13213,203025617,Sony Compact Disc Player/Recorder - RCDW500C,Sony Compact Disc Player/Recorder - RCDW500C,accepted,1.0,,quantity differs (4 vs 1),rules did not resolve
13580,90120953,Sanus WMS3B Black Weather Resistant Small Speaker Wall Mount - WMS3B,Sanus Flat Panel TV Wall Mount - VMF,,0.47692307692307684,,,rules did not resolve
13580,202143942,Sanus WMS3B Black Weather Resistant Small Speaker Wall Mount - WMS3B,Sanus VCD/DVD Wall Mount - VMAVB,,0.4799090909090909,,,rules did not resolve
13581,90125772,Sanus WMS3S Silver Weather Resistant Small Speaker Wall Mount - WMS3S,Sanus Speaker Mount - WMS3B BLACK,,0.2774509803921569,,,rules did not resolve
13581,90120953,Sanus WMS3S Silver Weather Resistant Small Speaker Wall Mount - WMS3S,Sanus Flat Panel TV Wall Mount - VMF,,0.475595238095238,,,rules did not resolve
13581,202143942,Sanus WMS3S Silver Weather Resistant Small Speaker Wall Mount - WMS3S,Sanus VCD/DVD Wall Mount - VMAVB,,0.47381998199819986,,,rules did not resolve
13700,90111702,Sanus Euro Foundations Satellite Speaker Stand - EFSATB,Sanus Euro Foundation Series III Speaker Stand - EFSATBKIII,,0.806299840510367,,,rules did not resolve
13700,90108521,Sanus Euro Foundations Satellite Speaker Stand - EFSATB,Sanus Euro Foundation Series III Speaker Stand - EFSATSIII,,0.7992357200321802,,,rules did not resolve
13700,90125772,Sanus Euro Foundations Satellite Speaker Stand - EFSATB,Sanus Speaker Mount - WMS3B BLACK,,0.428219696969697,,,rules did not resolve
13700,202291459,Sanus Euro Foundations Satellite Speaker Stand - EFSATB,Sanus Center Channel Speaker Mount - VMCC1B,,0.41298701298701296,,,rules did not resolve
13701,90108521,Sanus Euro Foundations Satellite Speaker Stand - EFSATS,Sanus Euro Foundation Series III Speaker Stand - EFSATSIII,,0.8116251005631536,,,rules did not resolve
13701,90111702,Sanus Euro Foundations Satellite Speaker Stand - EFSATS,Sanus Euro Foundation Series III Speaker Stand - EFSATBKIII,,0.794019138755981,,,rules did not resolve
13701,90125772,Sanus Euro Foundations Satellite Speaker Stand - EFSATS,Sanus Speaker Mount - WMS3B BLACK,,0.428219696969697,,,rules did not resolve
13701,202291459,Sanus Euro Foundations Satellite Speaker Stand - EFSATS,Sanus Center Channel Speaker Mount - VMCC1B,,0.4078849721706864,,,rules did not resolve
13954,90128649,Panasonic Corded Phone - KXTS3282B,Panasonic KX-TS3282B Corded Phone,,0.9190298507462686,,quantity differs (1 vs 2),rules did not resolve
13954,202900030,Panasonic Corded Phone - KXTS3282B,Panasonic KX-TS3282W Corded Telephone,,0.3407444668008047,,quantity differs (1 vs 2),rules did not resolve
13954,90105056,Panasonic Corded Phone - KXTS3282B,Panasonic KX-TS208W Corded Phone,,0.3871212121212121,,quantity differs (1 vs 2),rules did not resolve
13954,90104307,Panasonic Corded Phone - KXTS3282B,Panasonic KX-TS108W Corded Phone,,0.3734848484848484,,,rules did not resolve
13954,90138537,Panasonic Corded Phone - KXTS3282B,Panasonic KX-TSC14B Corded Telephone,,0.30999999999999994,,quantity differs (1 vs 2),rules did not resolve
13996,203025174,Escort Cordless Solo Radar Detector - S2E,Cordless Solo S2 Radar/Laser Detector - 010ES20A,,0.6161048689138577,,,rules did not resolve
14033,90105156,Garmin Deluxe Carrying Case - Black Finish - 0101023101,Garmin Canvas Deluxe Carry Case - 010-10231-01,,0.3286228622862286,,,rules did not resolve
14033,202870173,Garmin Deluxe Carrying Case - Black Finish - 0101023101,Garmin Leather GPS Case,,0.4376508295625942,,,rules did not resolve
14033,204053338,Garmin Deluxe Carrying Case - Black Finish - 0101023101,Garmin Leather Carry Case for Nuvi 660 - 010-10823-01,,0.49540396710208034,,,rules did not resolve
14070,203162678,Cuisinart Automatic Brew And Serve Coffeemaker - DTC975BK,Cuisinart Brew & Serve Stainless Therm Black 10-Cup Coffee Maker,,0.46691176470588225,,,rules did not resolve
14070,203111113,Cuisinart Automatic Brew And Serve Coffeemaker - DTC975BK,Cuisinart Cordless Automatic Electric Kettle,,0.4384252710985384,,,rules did not resolve
14563,205106045,Sharp Over The Counter Microwave Oven - R1214SS,Sharp 1100 Watt Over the Counter Microwave,,0.6853781512605043,,,rules did not resolve
14563,202870448,Sharp Over The Counter Microwave Oven - R1214SS,Sharp R-1214 Microwave Oven - R-1214,,0.4752081856839121,,possible model variant (r1214ss vs r1214 differ only by suffix),rule: possible variant (r1214ss vs r1214 differ only by suffix)
16112,202900041,Panasonic Genius Prestige Inverter Microwave Convection Oven NNC994SS In Stainless Steel - NNC994SS,"Panasonic NN-C994S Genius Prestige Convection Microwave Oven with Inverter Turbo Defrost and One-Touch Sensor Cooking, Stainless",,0.4630715339233038,,possible model variant (nnc994ss vs nnc994s differ only by suffix),rule: possible variant (nnc994ss vs nnc994s differ only by suffix)
16112,204559210,Panasonic Genius Prestige Inverter Microwave Convection Oven NNC994SS In Stainless Steel - NNC994SS,Panasonic NNSD797S 1.6 cu. ft. Genius Prestige Inverter Stainless Steel Microwave Oven,,0.3606604617862895,,,rules did not resolve
16394,203111424,Danby Twin Tub Washer - DTT420WH,"Twin Tub DTT420 Washer (Top Loading, 10 Lbs.)",,0.31061242093156993,,possible model variant (dtt420wh vs dtt420 differ only by suffix),rule: possible variant (dtt420wh vs dtt420 differ only by suffix)
16668,90140203,Omnimount TV Top Shelf Mount - CCH1P,OmniMount TV Top Shelf Mount,,0.79375,,,rules did not resolve
16668,203324914,Omnimount TV Top Shelf Mount - CCH1P,OmniMount MWFS Moda Collection 2 Shelf Wall Mounted Furniture System - Espresso,,0.434766201804758,,one title looks like an accessory,rules did not resolve
16668,90106210,Omnimount TV Top Shelf Mount - CCH1P,OmniMount Stainless Steel Speaker Mount - 20.0 WALL-W,,0.4522056065621891,,,rules did not resolve
16669,90140203,Omnimount TV Top Shelf Mount - CCH1B,OmniMount TV Top Shelf Mount,,0.8937499999999999,,,rules did not resolve
16669,90148258,Omnimount TV Top Shelf Mount - CCH1B,OmniMount TV Top Shelf Mount - CCH1P,,0.5376984126984127,,,rules did not resolve
16669,203324914,Omnimount TV Top Shelf Mount - CCH1B,OmniMount MWFS Moda Collection 2 Shelf Wall Mounted Furniture System - Espresso,,0.4304183757178015,,one title looks like an accessory,rules did not resolve
16669,90106210,Omnimount TV Top Shelf Mount - CCH1B,OmniMount Stainless Steel Speaker Mount - 20.0 WALL-W,,0.4522056065621891,,,rules did not resolve
16741,201959840,Delonghi Twenty Four Seven Coffee Maker In Black - DC50B,"DeLonghi DC50B Twenty Four Seven Drip Coffee Maker, Black",,0.9111148197596796,,,rules did not resolve
16741,203151930,Delonghi Twenty Four Seven Coffee Maker In Black - DC50B,DeLonghi 4-Cup Drip Coffee Makers,,0.4553626149131767,,,rules did not resolve
16741,203151779,Delonghi Twenty Four Seven Coffee Maker In Black - DC50B,DeLonghi 6-pc. Replacement Filters for Deep Fryer,,0.36106227106227107,,one title looks like an accessory,rules did not resolve
16758,90137168,Sanus Silver LCD Television Turntable - TVLCDS,Sanus Television Turntable - TV/LCDS,,0.8214503484320558,,,rules did not resolve
16758,90145568,Sanus Silver LCD Television Turntable - TVLCDS,Sanus Under Cabinet LCD TV Mount - VMUC1S,,0.44264367816091954,,one title looks like an accessory,rules did not resolve
16774,90139860,Olympus Olympus Ni-MH Quick Charger And Battery Set - B90SU,Olympus B-90SU AA/AAA Size Battery Charger - 200899,,0.7225171886936593,,quantity differs (4 vs 1),rules did not resolve
16877,202125720,Sony Digital Photo Printer Paper 40 Pack - SVMF40P,Sony Ribbon and Paper with Snap-Off Edges For DPP-FP50 Digital Photo Printer - SVMF120P,,0.5420229405630866,,quantity differs (40 vs 1),rules did not resolve
17067,90141687,Canon Rechargeable Battery - 9763A001,Canon CB-2LV Battery Charger - 9764A001,,0.3203947368421053,,,rules did not resolve
17067,202451162,Canon Rechargeable Battery - 9763A001,Canon Canon CB-2LW Battery Charger - 0763B001,,0.2955551989730423,,,rules did not resolve
17094,201959840,Delonghi Twenty Four Seven Coffee Maker - DC50W,"DeLonghi DC50B Twenty Four Seven Drip Coffee Maker, Black",,0.7071686610973131,,,rules did not resolve
17094,203151930,Delonghi Twenty Four Seven Coffee Maker - DC50W,DeLonghi 4-Cup Drip Coffee Makers,,0.48102272727272727,,,rules did not resolve
17094,203151779,Delonghi Twenty Four Seven Coffee Maker - DC50W,DeLonghi 6-pc. Replacement Filters for Deep Fryer,,0.3844551282051282,,one title looks like an accessory,rules did not resolve
17187,202041195,Universal IR/RF Remote - MX350,Universal Aeros IR/RF Remote Control - MX850,,0.4209459459459459,,,rules did not resolve
17220,90141074,Panasonic 5-Pack DVD-RAM Discs - LMAF120LU5,Panasonic 3x DVD-RAM Media,,0.6652342433434445,,quantity differs (5 vs 3),rules did not resolve
17417,90145560,Sanus 13' - 30' VisionMount Flat Panel TV Silver Wall Mount - VMFS,Sanus VisionMount Flat Panel TV Wall Mount - VMPL3B,,0.7166444768046599,,,rules did not resolve
17417,202827713,Sanus 13' - 30' VisionMount Flat Panel TV Silver Wall Mount - VMFS,Sanus VisionMount Flat Panel TV Wall Mount - ML22-B1,,0.6982758620689656,,,rules did not resolve
17417,202827715,Sanus 13' - 30' VisionMount Flat Panel TV Silver Wall Mount - VMFS,Sanus VisionMount Tilting Flat Panel TV Wall Mount - MT25-B1,,0.6470223325062034,,,rules did not resolve
17417,202827684,Sanus 13' - 30' VisionMount Flat Panel TV Silver Wall Mount - VMFS,Sanus VisionMount Flat Panel TV Wall Mount - MF110-B1,,0.6966021235351133,,,rules did not resolve
17417,90120953,Sanus 13' - 30' VisionMount Flat Panel TV Silver Wall Mount - VMFS,Sanus Flat Panel TV Wall Mount - VMF,,0.6853475935828877,,,rules did not resolve
17479,90145909,Weber Performer 22-1/2' Charcoal Grill - 841001,Weber 848001 Performer 22.5' Charcoal Grill in Dark Blue,,0.36603048462741017,,,rules did not resolve
17479,202619749,Weber Performer 22-1/2' Charcoal Grill - 841001,Weber Q 300 Gas Grill,,0.44858802578018997,,,rules did not resolve
17596,90120953,Sanus 13' - 30' Flat Panel TV Black Wall Mount - VM1B,Sanus Flat Panel TV Wall Mount - VMF,,0.7146788370520623,,,rules did not resolve
17596,90145584,Sanus 13' - 30' Flat Panel TV Black Wall Mount - VM1B,Sanus Flat Panel TV Wall Mount - VM400B,,0.44563380281690135,,,rules did not resolve
17596,90145561,Sanus 13' - 30' Flat Panel TV Black Wall Mount - VM1B,Sanus Flat Panel TV Wall Mount - VM400S,,0.4400782472613458,,,rules did not resolve
17596,90131941,Sanus 13' - 30' Flat Panel TV Black Wall Mount - VM1B,Sanus Flat Panel TV Wall Mount - VMPL50-B,,0.4219909036764308,,,rules did not resolve
17596,202827684,Sanus 13' - 30' Flat Panel TV Black Wall Mount - VM1B,Sanus VisionMount Flat Panel TV Wall Mount - MF110-B1,,0.3584401709401709,,,rules did not resolve
17872,90145584,Sanus 15' - 40' Flat Panel TV Silver Wall Mount - VM400S,Sanus Flat Panel TV Wall Mount - VM400B,,0.4499348780857185,,,rules did not resolve
17872,90120953,Sanus 15' - 40' Flat Panel TV Silver Wall Mount - VM400S,Sanus Flat Panel TV Wall Mount - VMF,,0.7079738562091503,,,rules did not resolve
17872,90139261,Sanus 15' - 40' Flat Panel TV Silver Wall Mount - VM400S,Sanus Flat Panel TV Wall Mount - VM1B,,0.4496989966555184,,,rules did not resolve
17872,90131941,Sanus 15' - 40' Flat Panel TV Silver Wall Mount - VM400S,Sanus Flat Panel TV Wall Mount - VMPL50-B,,0.41581241397391366,,,rules did not resolve
17873,90145561,Sanus 15' - 40' Flat Panel TV Black Wall Mount - VM400B,Sanus Flat Panel TV Wall Mount - VM400S,,0.4521555419473361,,,rules did not resolve
17873,90120953,Sanus 15' - 40' Flat Panel TV Black Wall Mount - VM400B,Sanus Flat Panel TV Wall Mount - VMF,,0.710158625247852,,,rules did not resolve
17873,90139261,Sanus 15' - 40' Flat Panel TV Black Wall Mount - VM400B,Sanus Flat Panel TV Wall Mount - VM1B,,0.45739130434782604,,,rules did not resolve
17873,90131941,Sanus 15' - 40' Flat Panel TV Black Wall Mount - VM400B,Sanus Flat Panel TV Wall Mount - VMPL50-B,,0.42314724040168517,,,rules did not resolve
17906,204274645,Frigidaire Electric Dryer - FEQ1442WH,Frigidaire Electric Dryer - FEQ332WH 5.7 Cu.Ft. Super Capacity Drum,,0.3306490384615385,,,rules did not resolve
17906,204569335,Frigidaire Electric Dryer - FEQ1442WH,Frigidaire 27'' Electric Stack Washer Dryer Combo - FEX831WH Extra-Large Capacity Wash Tub,,0.2938303571428572,,one title looks like a bundle/kit,rules did not resolve
18040,203151779,Delonghi Oil Filters - FK8,DeLonghi 6-pc. Replacement Filters for Deep Fryer,,0.5161904761904762,,quantity differs (3 vs 1); one title looks like an accessory,rules did not resolve
18040,203151930,Delonghi Oil Filters - FK8,DeLonghi 4-Cup Drip Coffee Makers,,0.3878531073446328,,quantity differs (3 vs 1),rules did not resolve
18040,201959840,Delonghi Oil Filters - FK8,"DeLonghi DC50B Twenty Four Seven Drip Coffee Maker, Black",,0.3351571670796922,,quantity differs (3 vs 1),rules did not resolve
18087,203150909,Danby Designer Portable Dishwasher - DDW1805WH,"DDW1805W 18-in. Portable Dishwasher (White, Energy Star)",,0.34696969696969693,,possible model variant (ddw1805wh vs ddw1805w differ only by suffix),rule: possible variant (ddw1805wh vs ddw1805w differ only by suffix)
18202,203201062,Canon Optura/Elura Accessory Kit - ACCESSORYKIT,Canon Battery and Charger Kit - 1169B001,,0.3816091954022989,,one title looks like an accessory,rules did not resolve
18202,203347464,Canon Optura/Elura Accessory Kit - ACCESSORYKIT,Canon Mini DV Camcorder Starter Kit - 9582A008,,0.38748778103616816,,,rules did not resolve
18516,204559214,Panasonic Genius Countertop Microwave In White - NNH965WH,Panasonic NNSN667W 1.2 cu. ft. Countertop Microwave Oven In White,,0.32866523845007456,,,rules did not resolve
18524,90145972,Weber Performer 22-1/2' Charcoal Grill - 848001,Weber 841001 Performer 22.5' Charcoal Grill in Black,,0.39226804123711345,,,rules did not resolve
18524,202619749,Weber Performer 22-1/2' Charcoal Grill - 848001,Weber Q 300 Gas Grill,,0.44858802578018997,,,rules did not resolve
18837,203155653,Cuisinart Countertop Griddler - GR4,Cuisinart GR-4 Griddler Four Multifunctional Cooking Options,,0.45671300893743794,,,rules did not resolve
18837,203111113,Cuisinart Countertop Griddler - GR4,Cuisinart Cordless Automatic Electric Kettle,,0.37318037974683543,,,rules did not resolve
18837,203162678,Cuisinart Countertop Griddler - GR4,Cuisinart Brew & Serve Stainless Therm Black 10-Cup Coffee Maker,,0.3341494845360825,,,rules did not resolve
18960,205145879,Nikon AF Speedlight Accessory - SB600,Nikon Digital Camera Leather Case - 5811,,0.3474675324675325,,one title looks like an accessory,rules did not resolve
18970,204559213,Panasonic Genius Countertop Microwave In Black - NNH965BK,Panasonic NNSN667B 1.2 cu. ft. Countertop Microwave Oven In Black,,0.32866523845007456,,,rules did not resolve
19112,90148541,Sony Soft Cyber-Shot Carrying Case - LCSCST,Sony LCS Soft Carrying Case - LCSCST,,0.8761401712583768,,,rules did not resolve
19112,203340806,Sony Soft Cyber-Shot Carrying Case - LCSCST,Sony LCS-CSH Soft Camera Case - LCSCSH,,0.7081930415263749,,,rules did not resolve
19132,204939361,Pioneer XM Digital Satellite Tuner for Pioneer Headunits - GEXP920XM,Audiovox Satellite Radio Tuner,,0.4404761904761904,,,rules did not resolve
19132,202784218,Pioneer XM Digital Satellite Tuner for Pioneer Headunits - GEXP920XM,Pioneer TS-P462 Speaker,,0.30741758241758244,,,rules did not resolve
19132,203022202,Pioneer XM Digital Satellite Tuner for Pioneer Headunits - GEXP920XM,Pioneer Car Audio Remote Control - CDVC1,,0.3123518518518519,,one title looks like an accessory,rules did not resolve
19132,203922244,Pioneer XM Digital Satellite Tuner for Pioneer Headunits - GEXP920XM,Pioneer iBus Interface Cable for iPod - CD-I200,,0.37313943675178946,,one title looks like an accessory,rules did not resolve
19141,90120953,Sanus Universal Projector Ceiling Mount - Black Finish - VMPR1B,Sanus Flat Panel TV Wall Mount - VMF,,0.3849876314162029,,,rules did not resolve
19204,90140203,OmniMount G-303 Gray Stellar Series Audio Tower - G303GR,OmniMount TV Top Shelf Mount,,0.3376002376002376,,one title looks like an accessory,rules did not resolve
19204,90106210,OmniMount G-303 Gray Stellar Series Audio Tower - G303GR,OmniMount Stainless Steel Speaker Mount - 20.0 WALL-W,,0.37212628170534273,,one title looks like an accessory,rules did not resolve
19204,90106172,OmniMount G-303 Gray Stellar Series Audio Tower - G303GR,OmniMount Universal Wall Speaker Mounting Kit - 20.0 WALL-B,,0.34969309462915604,,one title looks like a bundle/kit,rules did not resolve
19358,90144996,Sennheiser RF Wireless Headphones - RS140,Sennheiser RS 140 Wireless RF Headphone - RS-140,,0.6899578651685394,,,rules did not resolve
19358,90144998,Sennheiser RF Wireless Headphones - RS140,Sennheiser RS 130 Wireless Headphone - RS130,,0.6592156862745098,,,rules did not resolve
19358,90131741,Sennheiser RF Wireless Headphones - RS140,Sennheiser RS 120 Wireless Hi-fi Headphone - RS120,,0.6118881118881119,,,rules did not resolve
19358,90049752,Sennheiser RF Wireless Headphones - RS140,Sennheiser Nickel metal hydride Battery for Headsets - BA-151,,0.3693627450980392,,one title looks like an accessory,rules did not resolve
19628,202778257,Pioneer Wired Marine Remote Control Display - CDMR80D,Pioneer Nautica Marine Remote Control,,0.7426767676767676,,,rules did not resolve
19628,203022202,Pioneer Wired Marine Remote Control Display - CDMR80D,Pioneer Car Audio Remote Control - CDVC1,,0.3045430107526882,,,rules did not resolve
19631,202812646,Bose Second Zone Remote - PMC2,Bose PMCII Remote Control,,0.45422077922077925,,,rules did not resolve
19676,202827715,Sanus 32' - 84' Flat Panel TV Black Tilting Wall Mount - VMPL3B,Sanus VisionMount Tilting Flat Panel TV Wall Mount - MT25-B1,,0.34729815638906536,,,rules did not resolve
19676,90120953,Sanus 32' - 84' Flat Panel TV Black Tilting Wall Mount - VMPL3B,Sanus Flat Panel TV Wall Mount - VMF,,0.6857599647169084,,,rules did not resolve
19676,90139261,Sanus 32' - 84' Flat Panel TV Black Tilting Wall Mount - VMPL3B,Sanus Flat Panel TV Wall Mount - VM1B,,0.432882955553763,,,rules did not resolve
19676,90131941,Sanus 32' - 84' Flat Panel TV Black Tilting Wall Mount - VMPL3B,Sanus Flat Panel TV Wall Mount - VMPL50-B,,0.40579505774912694,,,rules did not resolve
19676,90145584,Sanus 32' - 84' Flat Panel TV Black Tilting Wall Mount - VMPL3B,Sanus Flat Panel TV Wall Mount - VM400B,,0.41745198463508315,,,rules did not resolve
20448,90148541,Sony VAIO Neoprene Laptop Carrying Case - Black Finish - VGPAMC3,Sony LCS Soft Carrying Case - LCSCST,,0.5073376623376624,,,rules did not resolve
20450,201692660,Canon Color Ink Tank - CL41CL,"Canon Ink Cartridge For PIXMA iP1600, iP6210D and iP6220D Printers - 0617B002",,0.35821428571428576,,,rules did not resolve
20453,201692665,Canon Cyan Ink Tank - Cyan - CLI8C,"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002",,0.36479982006297795,,,rules did not resolve
20453,201692677,Canon Cyan Ink Tank - Cyan - CLI8C,Canon CLI-8C Ink Cartridge - 0621B002,,0.6635779589819619,,,rules did not resolve
20454,201692665,Canon Magenta Ink Tank - Magenta - CLI8M,"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002",,0.35397123202001257,,,rules did not resolve
20454,201692648,Canon Magenta Ink Tank - Magenta - CLI8M,Canon CLI-8M Ink Cartridge - 0622B002,,0.6416798648505966,,,rules did not resolve
20454,201953025,Canon Magenta Ink Tank - Magenta - CLI8M,Canon CLI-8PM Photo Magenta Ink Cartridge - 0625B002,,0.2744143744454304,,,rules did not resolve
20458,201692665,Canon Cyan Photo Ink Cartridge - Cyan - CLI8PC,"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002",,0.45039057841383423,,,rules did not resolve
20458,201953025,Canon Cyan Photo Ink Cartridge - Cyan - CLI8PC,Canon CLI-8PM Photo Magenta Ink Cartridge - 0625B002,,0.3312430426716142,,,rules did not resolve
20459,201692665,Canon Magenta Photo Ink Cartridge - Magenta - CLI8PM,"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002",,0.4383190883190883,,,rules did not resolve
20459,201953021,Canon Magenta Photo Ink Cartridge - Magenta - CLI8PM,Canon CLI-8PC Photo Cyan Ink Cartridge - 0624B002,,0.30960831247959963,,,rules did not resolve
20461,201692665,Canon Yellow Ink Cartridge - Yellow - CLI8Y,"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002",,0.4803427128427128,,,rules did not resolve
20461,201692695,Canon Yellow Ink Cartridge - Yellow - CLI8Y,Canon Black Ink Cartridge - 0615B002,,0.3205350978135788,,,rules did not resolve
20461,201692705,Canon Yellow Ink Cartridge - Yellow - CLI8Y,Canon PGI-5BK Black Ink Cartridge - 0628B002,,0.29356452455590387,,,rules did not resolve
20461,201692648,Canon Yellow Ink Cartridge - Yellow - CLI8Y,Canon CLI-8M Ink Cartridge - 0622B002,,0.2998863636363637,,,rules did not resolve
20461,201692677,Canon Yellow Ink Cartridge - Yellow - CLI8Y,Canon CLI-8C Ink Cartridge - 0621B002,,0.2998863636363637,,,rules did not resolve
20461,201692660,Canon Yellow Ink Cartridge - Yellow - CLI8Y,"Canon Ink Cartridge For PIXMA iP1600, iP6210D and iP6220D Printers - 0617B002",,0.4895874713521772,,,rules did not resolve
20461,201953021,Canon Yellow Ink Cartridge - Yellow - CLI8Y,Canon CLI-8PC Photo Cyan Ink Cartridge - 0624B002,,0.2745059288537549,,,rules did not resolve
20466,201692660,Canon Black Ink Cartridge - Black - PG40BK,"Canon Ink Cartridge For PIXMA iP1600, iP6210D and iP6220D Printers - 0617B002",,0.5030431432973806,,,rules did not resolve
20466,201692695,Canon Black Ink Cartridge - Black - PG40BK,Canon Black Ink Cartridge - 0615B002,,0.4306683480453971,,,rules did not resolve
20466,201692705,Canon Black Ink Cartridge - Black - PG40BK,Canon PGI-5BK Black Ink Cartridge - 0628B002,,0.387064974674582,,,rules did not resolve
20466,204736197,Canon Black Ink Cartridge - Black - PG40BK,Canon PG-40 Twin Pack Black Ink Cartridge - 0615B013,,0.35793512382281134,,,rules did not resolve
